97909182,"Voltex","ACCESSORY ","description",1685.33,8,"TechX",5
71113750,"Keypro","ACCESSORY ","description",1890.19,12,"SmartGrip",1
92082070,"Glideon","ACCESSORY ","description",1165.81,5,"HyperCharge",3
29198881,"Visionix","ACCESSORY ","description",1610.14,14,"NextTech",5
40878199,"Powertech","ACCESSORY ","description",1795.41,10,"SmartLife",2
71581128,"Keymate","ACCESSORY ","description",1123.95,4,"The Smart Co.",3
92579134,"SpeedyClick","ACCESSORY ","description",1203.79,15,"GadgetHub",4
22832177,"Brightview","ACCESSORY ","description",1374.44,3,"SmartSolutions",5
54361627,"SwiftCharge","ACCESSORY ","description",1564.66,13,"ProTech",4
90347567,"Keyprime","ACCESSORY ","description",1419.5,2,"SmartGear",3
21785696,"Sensitech","ACCESSORY ","description",1334.78,1,"DigitalAdvantage",2
33473777,"Monitex","ACCESSORY ","description",1907.56,9,"SmartGenius",4
72984652,"Chargex","ACCESSORY ","description",1737.46,11,"TechCrate",1
51643851,"Techboard","ACCESSORY ","description",1973.23,7,"The Smart Spot",1
64132459,"Mousero","ACCESSORY ","description",1861.59,5,"SmartFusion",2
16610332,"Powerup","ACCESSORY ","description",1971.08,14,"iGear",5
84257511,"Typeon","ACCESSORY ","description",1414.12,7,"TechHive",4
10800894,"Glidepad","ACCESSORY ","description",1789.72,1,"SmartAssist",1
68825189,"Viewmate","ACCESSORY ","description",1427.11,9,"TechPlus",2
58311790,"Speedtouch","ACCESSORY ","description",1407.28,11,"SmartEdge",2
27093019,"Keyflow","ACCESSORY ","description",1945.36,2,"ConnectedTech",4
21714260,"Visionair","ACCESSORY ","description",1351.91,8,"TechChamp",1
98658633,"Ultracharge","ACCESSORY ","description",1325.8,10,"SmartConnect",5
33221407,"Typepro","ACCESSORY ","description",1320.63,6,"The Tech Room",4
89692929,"Keytech","ACCESSORY ","description",1335.14,13,"SmartNexus",5
20097844,"Glidemate","ACCESSORY ","description",1725.79,12,"ProConnect",2
54144152,"Visionpro","ACCESSORY ","description",1625.87,3,"TechSavvy",1
39208022,"Monitouch","ACCESSORY ","description",1207.63,4,"SmartWave",4
99408009,"Powertap","ACCESSORY ","description",1527.46,15,"TechWorx",3
15038281,"Swifttype","ACCESSORY ","description",1527.54,8,"SmartEssentials",3
84158315,"Keybrite","ACCESSORY ","description",1757.59,9,"The Tech Emporium",5
69914999,"Sensimouse","ACCESSORY ","description",1527.33,13,"TechChoice",4
34546531,"Chargemate","ACCESSORY ","description",1757.17,7,"SmartSelections",1
87118731,"Techmate","ACCESSORY ","description",1447.08,14,"iConnect",3
80895913,"Clickmate","ACCESSORY ","description",1827.38,6,"TechXpert",5
91890291,"Ultraview","ACCESSORY ","description",1517.08,5,"SmartSource",1
55743011,"Swifttouch","ACCESSORY ","description",1797.71,11,"TechDrive",5
73932530,"Keypulse","ACCESSORY ","description",1527.03,4,"The Smart Hive",2
24601173,"Moniview","ACCESSORY ","description",1637.19,3,"TechUp",5
72613496,"Powerview","ACCESSORY ","description",1317.63,1,"SmartLux",3
87553018,"Visionmate","ACCESSORY ","description",1787.04,15,"TechNexus",2
44364452,"Glidepro","ACCESSORY ","description",1857.14,10,"SmartZone Pro",2
68246003,"Techclick","ACCESSORY ","description",1557.45,2,"TechVision",1
59394227,"Typeview","ACCESSORY ","description",1367.6,12,"SmartNation",1
21329634,"Chargeon","ACCESSORY ","description",1327.76,9,"TechFusion",5
87314787,"Sensikey","ACCESSORY ","description",1337.36,8,"SmartLink",3
36308611,"Powermate","ACCESSORY ","description",1277.71,14,"TechGuru",3
25416441,"Keytouch","ACCESSORY ","description",1827.61,7,"SmartSpot",1
39262453,"Monipad","ACCESSORY","description",1327.17,6,"TechUnlimited",4
